기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국의료기기안전정보원,기타공공기관,식품의약품안전처,70,6,58456,120590,서울특별시,0.0857142857142857,2.062919118653346
한국의료분쟁조정중재원,기타공공기관,보건복지부,157,6,73493,207851,서울특별시,0.0382165605095541,2.8281741118201733
한국의약품안전관리원,기타공공기관,식품의약품안전처,123,13,57914,120618,경기도,0.1056910569105691,2.08270884414822
한국인터넷진흥원,준정부기관(위탁집행형),과학기술정보통신부,767,30,72031,207581,전라남도,0.0391134289439374,2.8818286571059684
한국임업진흥원,기타공공기관,산림청,267,24,61269,167545,서울특별시,0.0898876404494382,2.734580293459988
한국자산관리공사,준정부기관(기금관리형),금융위원회,1861,104,88968,216468,부산광역시,0.0558839333691563,2.4330995414081467
한국잡월드,기타공공기관,고용노동부,65,4,61719,180950,경기도,0.0615384615384615,2.931836225473517
한국장애인개발원,기타공공기관,보건복지부,385,6,61610,185188,서울특별시,0.0155844155844155,3.0058107450089278
한국장애인고용공단,준정부기관(위탁집행형),고용노동부,1473.88,58,59593,174178,경기도,0.0393519146741932,2.922792945480174
한국장학재단,준정부기관(위탁집행형),교육부,522,21,81323,269056,대구광역시,0.0402298850574712,3.3084859141940166
한국재정정보원,준정부기관(위탁집행형),기획예산처,299,21,73515,202854,서울특별시,0.0702341137123745,2.7593552336257905
한국저작권보호원,기타공공기관,문화체육관광부,114,4,58012,162943,서울특별시,0.0350877192982456,2.808780941874095
한국저작권위원회,기타공공기관,문화체육관광부,157,10,64170,171647,경상남도,0.0636942675159235,2.67487922705314
한국전기안전공사,준정부기관(위탁집행형),기후에너지환경부,3219.5,150,68513,158756,전라북도,0.0465910855722938,2.317166085268489
한국전력거래소,준정부기관(위탁집행형),기후에너지환경부,524,27,94322,184849,전라남도,0.0515267175572519,1.9597654841924472
한국전력공사,공기업(시장형),기후에너지환경부,23423,600,89488,168260,전라남도,0.0256158476710925,1.880252100840336
